time,urbangz,envirgz,areagz,lengthgz,ntgz,ndvigz,nppgz,pmgz,urbansh,envirsh,areash,lengthsh,ntsh,ndvish,nppsh,pmsh
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.028943071,1.117884915,1.050918513,1.043107325,1.009894781,0.986834194,0.98962498,0.710327648,1.0383652,1.111058212,1.043351613,1.03825187,1.022099669,1.001590553,0.967973218,0.730159283
3,1.081496418,1.061614556,1.048948991,1.05099294,1.252335663,0.996399979,0.986533123,0.852560683,1.050340514,1.140314651,1.035718719,1.039970166,1.127391495,0.9943391,1.125833854,0.782539265
